code,product_name,quantity,brand,categories,ingredients,image_url,nutriscore_grade,energy_100g,fat_100g,saturated_fat_100g,proteins_100g,carbohydrates_100g,sugars_100g,fiber_100g,sodium_100g
4000521144814,Dr.Oetker Ампули есенция ванилия 4 бр x 8 г,8 GRAM,DR. OETKER,Хранителни стоки > Тестени изделия > Торти и десерти > Декорация,Ароматизант ванилия,https://cdn.metro-group.com/bg/bg_pim_23142001001_01.png?format=jpg&quality=80&dpi=72,,,,,,,,,
2865330000001,METRO Chef Прошуто кото 70% ~4кг,1000 GRAM,METRO CHEF,"Хранителни стоки > Нашите марки > Колбаси > Шунка, бекон и деликатеси > Шунка | Хранителни стоки > Колбаси > Шунка, бекон и деликатеси > Шунка","Свинско месо, вода, картофено нишесте, ароматизанти, сол, желиращ агент: карагенан, декстроза, антиоксидант: натриев аскорбат, консервант: натриев нитрит",https://cdn.metro-group.com/bg/bg_pim_336185001001_01.png?format=jpg&quality=80&dpi=72,,488.0,6.0,,,,,,
5201310722650,ИФАНТИС Веган тип фета 180г,180 GRAM,ИФАНТИС,Хранителни стоки > Млечни продукти и яйца > Сирене и кашкавал > Други сирена,Вода кокосово масло (произход от ЕС) 24% картофено нишесте картофени протеини морска сол екстра върджин зехтин 1% олио от маслини веган ароматизатор.,https://cdn.metro-group.com/bg/bg_pim_321765001001_01.png?format=jpg&quality=80&dpi=72,,1201.0,,,,,,,
18435177636810,"METRO Chef Свински бут ~2,6кг",1000 GRAM,METRO CHEF,Хранителни стоки > Месо > Прясно месо > Свинско,,https://cdn.metro-group.com/bg/bg_pim_340192001001_01.png?format=jpg&quality=80&dpi=72,,,,,,,,,
3800819001918,"METRO Chef Кафява захар 4,8кг",4800 GRAM,METRO CHEF,"Хранителни стоки > Пакетирани храни > Овкусители, подправки и сосове > Кафява захар",меласа от захарна тръстика,https://cdn.metro-group.com/bg/bg_pim_316551001001_01.png?format=jpg&quality=80&dpi=72,,399.0,0.0,0.0,0.3,99.3,99.3,,0.0
3083680019804,Bonduelle Зелен фасул цял 1кг,1000 GRAM,BONDUELLE,Хранителни стоки > Замразени продукти > Плодове и зеленчуци > Бобени,Цял зелен фасул,https://cdn.metro-group.com/bg/bg_pim_164910001001_01.png?format=jpg&quality=80&dpi=72,,148.0,,,,,,,
3800849217617,aro Котешка тоалетна 5кг,5000 GRAM,ARO,Хранителни стоки > Нашите марки > Домашни любимци > Котки > Тоалетна | Хранителни стоки > Домашни любимци > Котки > Тоалетна,бентонит,https://cdn.metro-group.com/bg/bg_pim_273564001001_01.png?format=jpg&quality=80&dpi=72,,,,,,,,,
4014400900217,MERCI Бонбони 400г,400 GRAM,MERCI,Хранителни стоки > Захарни и солени изделия > Шоколад,"Захар, какаово масло, какаова маса, ПЪЛНОМАСЛЕНО МЛЯКО НА ПРАХ, растителни мазнини (палмово масло, масло от ший), ЛЕШНИЦИ (3.8%), СУХА СМЕТАНА, БАДЕМИ (2.8%), ОБЕЗМАСЛЕНО МЛЯКО НА ПРАХ, ЛАКТОЗА, МЪТЕНИЦА НА ПРАХ (ОТ МЛЯКО)МЛЕЧНИ МАЗНИНИ, какао с намалено маслено съдържание, декстроза, емулгатор лецитин (СОЯ)фруктоза, кафе, глюкозен сироп, инвертен захарен сироп",https://cdn.metro-group.com/bg/bg_pim_52189001001_01.png?format=jpg&quality=80&dpi=72,,2346.0,,20.0,,,48.0,,
3800849213879,aro Газирана напитка портокал 12 бр x 500 мл,500 GRAM,ARO,Хранителни стоки > Напитки > Безалкохолни напитки и вода > Лимон | Хранителни стоки > Нашите марки > Напитки > Вода и Безалкохолни напитки > Лимон,деминерализирана вода въглероден диоксид киселина лимонена киселина овкусител емулсия от портокал подсладител цикламати ацесулфам к захарини сукралоза регулатор на киселинността натриев цитрат оцветител тартразин сънсет жълто fcf,https://cdn.metro-group.com/bg/bg_pim_293407001001_01.png?format=jpg&quality=80&dpi=72,,3.4,0.0,0.0,0.0,0.2,0.0,,0.0
3800849235710,METRO Chef Бекон класик слайс с кожа ~1кг,1000 GRAM,METRO CHEF,"Хранителни стоки > Нашите марки > Колбаси > Шунка, бекон и деликатеси > Бекон | Хранителни стоки > Колбаси > Шунка, бекон и деликатеси > Бекон",Свински корем (75%) антиоксидант (E331 вода E316) сол картофено нишесте консервант (Е250) Опушен продукт с естествено дърво декстроза СОЕВ ПРОТЕИН стабилизатор (E451) желиращ агент (E407 E415) растителни влакна. аромат на дим.,https://cdn.metro-group.com/bg/bg_pim_349195001001_01.png?format=jpg&quality=80&dpi=72,,0.0,,,,,,,
4333465951294,METRO Chef Магданоз 90г,90 GRAM,METRO CHEF,"Хранителни стоки > Пакетирани храни > Овкусители, подправки и сосове > Подправки",магданоз,https://cdn.metro-group.com/bg/bg_pim_250740001001_01.png?format=jpg&quality=80&dpi=72,,1268.0,2.6,0.4,22.0,36.0,14.0,,0.0
4337182235378,RIOBA Сироп малина 700мл,700 GRAM,RIOBA,Хранителни стоки > Напитки > Безалкохолни напитки и вода > Сиропи | Хранителни стоки > Нашите марки > Напитки > Вода и Безалкохолни напитки > Сиропи,захарен сироп вода концентриран сок от малини концентриран лимонов сок концентриран сок от бъз ароматизант,https://cdn.metro-group.com/bg/bg_pim_263762001001_01.png?format=jpg&quality=80&dpi=72,,1390.407,0.011,0.004,0.06,81.7,80.2,,10.0
2863940000008,METRO Chef Луканков салам гастро ~800г,1000 GRAM,METRO CHEF,Хранителни стоки > Колбаси > Колбаси > Шпек и луканка | Хранителни стоки > Нашите марки > Колбаси > Колбаси > Шпек и луканка,свинско месо сланина животински протеин (свински) йодирана сол Декстроза Пеперони Подправки йодирана сол Декстроза Натриев аскорбат гранулиран чесън нитритна сол Консервант Калиев нитрат Натриев нитрит йодирана сол Стартерна култура Антиоксидант Натриев аскорбат,https://cdn.metro-group.com/bg/bg_pim_334632001001_02.png?format=jpg&quality=80&dpi=72,,1440.0,28.5,13.2,21.1,1.6,0.6,,0.0
