code,product_name,quantity,brand,categories,ingredients,image_url,nutriscore_grade,energy_100g,fat_100g,saturated_fat_100g,proteins_100g,carbohydrates_100g,sugars_100g,fiber_100g,sodium_100g
7622202264177,Milka Шоколад цял лешник 95г,95 GRAM,MILKA,Хранителни стоки > Захарни и солени изделия > Шоколад,Захар ЛЕШНИЦИ (20%) какаово масло обезмаслено МЛЯКО на прах какаова маса суроватка на прах (от МЛЯКО) дехидратирана МЛЕЧНА мазнина емулгатори (СОЕВ лецитин E 476) ЛЕШНИКОВА паста ароматизант.,https://cdn.metro-group.com/bg/bg_pim_350176001001_01.png?format=jpg&quality=80&dpi=72,,2316.0,36.0,15.0,8.0,,47.0,,
5941000032002,LAY'S Чипс с гъби и сметана 125г,125 GRAM,LAY'S,Хранителни стоки > Захарни и солени изделия > Чипс,"Картофи, растителни масла (слънчогледово и рапично в различни пропорции), ЛАКТОЗА, сол, диви гъби на прах 0. 1%, СМЕТАНА на прах от МЛЯКО 0. 03%, МЛЕЧНИ протеини, ПШЕНИЦА и производни на ПШЕНИЦА (малтодекстрин, глюкозен сироп и ГЛУТЕН), СОЕВ сос, захар, подправки, обезмаслено МЛЯКО на прах, овкусители, оцветител (екстракт от паприка).",https://cdn.metro-group.com/bg/bg_pim_345187001001_01.png?format=jpg&quality=80&dpi=72,,2143.0,33.0,,,46.0,,,
3800849216870,"METRO Chef шунка тип чешка ~1,3кг",1000 GRAM,METRO CHEF,"Хранителни стоки > Колбаси > Шунка, бекон и деликатеси > Шунка",свински бут без кост питейна вода ИЗОЛАТ ОТ СОЕВ ПРОТЕИН карагенан сол пентанатриев трифосфат захари натриев полифосфат натриев аскорбат ароматизант дървесен пушек,https://cdn.metro-group.com/bg/bg_pim_295924001001_01.png?format=jpg&quality=80&dpi=72,,411.0,1.0,0.06,15.0,7.04,0.39,,0.0
2804490000001,Пилeшки бут гастро опаковка охладен Fragedo ~4кг,1000 GRAM,,Хранителни стоки > Месо > Прясно месо > Пилешко,говеждо месо,https://cdn.metro-group.com/bg/bg_pim_235085001001_01.png?format=jpg&quality=80&dpi=72,,,,,,,,,
3800057703049,"VITAL Кетчуп 3,2кг",3200 GRAM,VITAL,"Хранителни стоки > Пакетирани храни > Овкусители, подправки и сосове > Кетчуп",Вода захар доматено пюре модифицирано нишесте йодирана сол регулатор на киселинността лимонена киселина ароматизант: кетчуп класик консервант: калиев сорбат. Съдържание на домати: 87г на 100г продукт.,https://cdn.metro-group.com/bg/bg_pim_63198001001_01.png?format=jpg&quality=80&dpi=72,,381.0,,0.0,,,,,
5601176000020,RECCUA Вино Порто Руба 750мл,750 GRAM,RECCUA,Хранителни стоки > Напитки > Вино > Вермут,Съдържа СУЛФИТИ,https://cdn.metro-group.com/bg/bg_pim_312941001001_01.png?format=jpg&quality=80&dpi=72,,,,,,,,,
5010327325125,Glenfiddich Уиски 15YO 40% 700мл,700 GRAM,GLENFIDDICH,Хранителни стоки > Напитки > Високоалкохолни напитки > Уиски,,https://cdn.metro-group.com/bg/bg_pim_149571001001_01.png?format=jpg&quality=80&dpi=72,,,,,,,,,
3800230720184,STARFISH Чироз 100г,100 GRAM,STARFISH,Хранителни стоки > Риба > Рибни деликатеси > Пушена риба,Чистена РИБА Салака 97 % сол 3%,https://cdn.metro-group.com/bg/bg_pim_251016001001_01.png?format=jpg&quality=80&dpi=72,,759.0,,,,,,,
3800791540344,САМИ-М Панирано пилешко бонфиле 1кг,1000 GRAM,САМИ-М,Хранителни стоки > Замразени продукти > Полуготови ястия > Месо,"Пилешко филе, панировка 28% (ПШЕНИЧНО брашно, сол, модефицирано нишесте, набухвател, подправки), раститрлна мазнина, сол, растителни фибри, картофенонишесте стабилизатор: Е301, Е331, Е300 декстроза",https://cdn.metro-group.com/bg/bg_pim_208338001001_01.png?format=jpg&quality=80&dpi=72,,215.0,4.0,,19.0,26.0,,,
4028900004702,WEIDEGLUCK Цедено мляко немско 1кг,1000 GRAM,WEIDEGLUCK,Хранителни стоки > Млечни продукти и яйца > Мляко и млечни продукти > Кисело мляко,"Цедено кисело МЛЯКО, по гръцка ресепта",https://cdn.metro-group.com/bg/bg_pim_233190001001_02.png?format=jpg&quality=80&dpi=72,,506.0,10.0,,,,,,
3800012131634,ОЛИНЕЗА Горчица 50 бр х 12 мл,550 GRAM,ОЛИНЕЗА,"Хранителни стоки > Пакетирани храни > Овкусители, подправки и сосове > Горчица","Вода, винен оцет, СИНАП, захар, рафинирано слънчогледово масло, царевично брашно, сол, смес от подправки в променливо съотношение: хрян, ГОРЧИЦА, къри, куркума, стабилизатори: гума гуар, ксантанова гума, киселина: лимонена киселина, консервант: калиев сорбат.",https://cdn.metro-group.com/bg/bg_pim_309490001001_01.png?format=jpg&quality=80&dpi=72,,540.0,6.2,0.6,1.2,17.1,8.0,,
3800849200398,METRO Chef Сурови бадеми 80г,80 GRAM,METRO CHEF,Хранителни стоки > Плодове и зеленчуци > Сурови ядки > Ядки,СЕМЕНА ОТ СУСАМ ленено семе макови семена,https://cdn.metro-group.com/bg/bg_pim_325498001001_01.png?format=jpg&quality=80&dpi=72,,2324.0,47.0,5.9,18.0,25.3,0.83,,16.0
7622201521370,Milka Лешников крем 600г,600 GRAM,MILKA,"Хранителни стоки > Пакетирани храни > Мед, сладка и течeн шоколад > Течен шоколад","Захар, слънчогледово масло 28 %, суроватка на прах (от МЛЯКО), ЛЕШНИКОВА паста 5 %, нискомаслено какао на прах, обезмаслено МЛЯКО на прах, какаово масло, емулгатор (слънчогледови лецитини), сол, ароматизанти.",https://cdn.metro-group.com/bg/bg_pim_332485001001_02.png?format=jpg&quality=80&dpi=72,,552.0,,57.0,,57.0,,,
